"",id,gender,color,season,description
0,53759,Men,Grey,Summer,Puma Men Grey T-shirt
1,1855,Men,Grey,Summer,Inkfruit Mens Chain Reaction T-shirt
2,7990,Men,Navy Blue,Fall,Fila Men's Round Neck Navy Blue T-shirt
3,4729,Boys,Green,Summer,Disney Kids Boy's Crew Sea Life Sialing Green Teen Kidswear
4,3954,Women,Pink,Summer,Jealous 21 Women's Pink T-shirt
5,5891,Men,Black,Summer,Puma Men's Stripe Polo Black T-shirt
6,38630,Women,Purple,Summer,Nike Women Purple Polo T-shirt
7,10866,Men,Red,Fall,Wrangler Men Motor Rider Red T-Shirts
8,15528,Men,Black,Fall,Puma Men Scribble Black Tshirts
9,2288,Women,Black,Fall,Nike Women Black T-shirt
10,18237,Men,Red,Fall,Manchester United Men Solid Red Tshirt
11,13419,Men,Pink,Summer,United Colors of Benetton Men Solid Pink Polo T-shirts
12,5865,Men,Black,Summer,ADIDAS Men's Twelve Faster T-shirt
13,29584,Men,Black,Summer,Indigo Nation Men Printed Black T-shirt
14,9694,Men,White,Fall,Classic Polo Men Vulcan White Polo Tshirts
15,8322,Boys,Blue,Fall,Doodle Boy's Route 66 Biker Blue Teen Kidswear
16,7964,Men,Black,Fall,Puma Men's Large Logo Graphic Black T-shirt
17,17240,Men,Black,Fall,U.S. Polo Assn. Men Stripes Black  Polo Tshirt
18,3365,Men,Black,Summer,Myntra Men's Brain Black T-shirt
19,10065,Men,Yellow,Fall,Puma Men ducati logo tee Yellow Tshirts
20,5092,Men,Purple,Summer,Wrangler Men's Minstrel Shoulder Loop Purple T-shirt
21,10859,Men,Navy Blue,Fall,Wrangler Men Furious Rides Navy Blue T-Shirts
22,24062,Men,Navy Blue,Summer,Locomotive Men Navy Blue Printed T-shirt
23,30650,Men,Black,Summer,Nike Men Printed Black T-shirt
24,14293,Men,Blue,Fall,Classic Polo Men Stripes Blue Tshirts
25,6041,Men,Navy Blue,Summer,UCB Men's Polo Neck With Lion Logo Navy Blue T-shirt
26,9835,Women,Grey,Fall,Little Miss Women Printed Grey T-shirt
27,3533,Men,Navy Blue,Summer,Myntra Men's If You Don't Like Navy Blue T-shirt
28,3701,Women,Black,Summer,Tantra Women Flower Heart Black Long T-shirt
29,53766,Men,White,Summer,Puma Men White and Navy Blue T-shirt
30,6287,Men,Yellow,Summer,Classic Polo Men's Swiss Yellow T-shirt
31,7355,Men,Navy Blue,Fall,Tantra Men's Black Sabbath Navy T-shirt
32,43500,Men,White,Summer,French Connection Men White T-shirt
33,11527,Men,Olive,Fall,United Colors of Benetton Men Olive Tshirts
34,15187,Men,White,Fall,Arrow Sport Men Solid White Polo Tshirts
35,20260,Men,Navy Blue,Fall,Wrangler Men Applique Navy Blue Tshirt
36,28469,Women,Pink,Summer,Urban Yoga Women Printed Pink T-shirt
37,2243,Men,White,Fall,ADIDAS Men Stripe Polo White Polo T-shirt
38,44341,Men,Blue,Summer,Indian Terrain Men Blue T-shirt
39,4386,Men,Grey,Summer,Wrangler Cowboy Photo T-shirt
40,29789,Men,Pink,Summer,Basics Men Pack of 3 T-shirt
41,7503,Men,Blue,Summer,Nike Men's As Icon Blue T-shirt
42,13426,Men,Red,Summer,United Colors of Benetton Men Stripes Red  Polo T-shirts
43,7963,Men,White,Fall,Puma Men's Large Logo Graphic White French T-shirt
44,20258,Men,Brown,Fall,Wrangler Men Polo Charcoal T-shirt
45,8325,Boys,Yellow,Fall,Doodle Boy's Athletic 77 Dept Yellow Teen Kidswear
46,5862,Men,Black,Summer,ADIDAS Men's Stripe Black T-shirt
47,58726,Men,Grey,Summer,Puma Men Grey T-shirt
48,2049,Men,White,Summer,ADIDAS Men's Slim Fit White T-shirt
49,24892,Men,Black,Fall,United Colors of Benetton Men Black T-shirt
50,38637,Men,Red,Summer,Nike Men Red Delhi T-shirt
51,10861,Men,White,Fall,Wrangler Men Dirt Riders White T-Shirts
52,17278,Men,Grey,Fall,U.S. Polo Assn. Men Printed  Steeple Grey Tshirt
53,31588,Men,Maroon,Summer,Mark Taylor Men Printed Maroon T-shirt
54,18230,Men,White,Fall,Manchester United Men Printed White Tshirt
55,23871,Men,Grey,Fall,ADIDAS Men Grey Striped T-shirt
56,3953,Women,Red,Summer,Jealous 21 Women's Red Peace T-shirt
57,6079,Men,Grey,Summer,UCB Men's Johny Collar With Two Tone Grey T-shirt
58,29321,Men,Black,Summer,ADIDAS Men Black Jersey
59,40947,Boys,Red,Summer,Gini and Jony Boys Core Red T-shirt
60,32769,Men,Blue,Spring,Music Men Printed Blue T-shirt
61,10439,Men,Brown,Fall,Flying Machine Men Walnut Brown Tshirts
62,1852,Men,Blue,Summer,Inkfruit Men Ride It Or Die T-shirt
63,19786,Men,Navy Blue,Winter,U.S. Polo Assn. Men Solid Navy Blue Tshirt
64,24091,Men,Navy Blue,Fall,Manchester United Men Navy Blue Striped T-shirt
65,41406,Women,Pink,Summer,Wrangler Women Pink T-shirt
66,4381,Men,Blue,Summer,Superman Men's Silhouette Light Blue T-shirt
67,7504,Women,Pink,Summer,Nike Women's Smash Pink T-shirt
68,22366,Men,White,Fall,Ed Hardy Men New Tiger White T-Shirt
69,13421,Men,Black,Summer,United Colors of Benetton Men Stripes Black Polo T-shirts
70,31543,Men,Navy Blue,Summer,Classic Polo Men Striped Navy Blue T-shirt
71,2244,Women,Black,Fall,ADIDAS Women's Black T-shirt
72,6280,Men,Pink,Summer,UCB Men's Making Light Pink T-shirt
73,7352,Men,Purple,Fall,Tantra Men's Whatever Purple T-shirt
74,2620,Men,Blue,Fall,Nike Men's Colors Team India T-shirt
75,43507,Men,Maroon,Summer,French Connection Men Maroon T-shirt
76,53795,Men,Black,Summer,Puma Men Black T-shirt
77,12197,Men,Orange,Summer,Basics Men Orange Polo T-shirt
78,6274,Women,Green,Summer,UCB Women's Crystal Benetton Green T-shirt
79,3706,Men,Grey,Summer,Classic Polo Men's Grey Red & Brown Stripe T-shirt
80,15174,Men,Yellow,Fall,Arrow Men Yellow Polo T-shirt
81,53761,Men,Green,Summer,Puma Men Green and Blue T-shirt
82,15346,Men,Black,Fall,Nike Men Special Edition 3 Star Beed Black Tshirts
83,40978,Boys,Red,Summer,Gini and Jony Boys United Red T-shirt
84,14294,Men,Black,Fall,Classic Polo Men Stripes Black Tshirts
85,9832,Women,Orange,Fall,Little Miss Women Printed Rust T-shirt
86,3534,Women,Black,Summer,Myntra Women's I Want You Black T-shirt
87,11382,Women,Grey,Fall,United Colors Of Benetton Women Light Winter Grey T-Shirts
88,4375,Men,Navy Blue,Summer,Marvel Comics Men's Comic Poses Navy T-shirt
89,17849,Women,Grey,Fall,Flying Machine Women This & That Grey Tshirt
90,29548,Men,Navy Blue,Summer,Classic Polo Men Printed Navy Blue T-shirt
91,6610,Men,White,Summer,Spykar Men's Stinger Basket Ball Team White Blue Stripes T-shirt
92,17247,Men,Blue,Fall,U.S. Polo Assn. Men Stripes Blue Polo Tshirt
93,3362,Men,Black,Summer,Myntra Men's Creative designs Black T-shirt
94,38608,Men,Grey,Summer,Nike Men Grey T-shirt
95,10062,Men,Grey,Fall,Puma Men Puma runhard tee Grey Tshirts
96,5095,Men,Blue,Summer,Wrangler Men's Greensboro Raw Edge Blue T-shirt
97,28467,Women,Rust,Summer,Urban Yoga Women Printed Rust T-shirt
98,4986,Men,Red,Summer,ADIDAS Men Bayern Munchen Red Jersey
99,4388,Men,Green,Summer,DC Comics Lantern Arrow All Over Green T-shirt
100,2843,Men,Pink,Summer,Mr.Men Men's Mr.Mischief Pink T-shirt
101,3991,Men,White,Summer,Mr.Men Men's Wave Rider White T-shirt
102,29787,Men,White,Summer,Basics Men White T-shirt
103,13428,Men,White,Summer,United Colors of Benetton Men Printed White Tshirts
104,19112,Men,Grey,Summer,Campbell Men Pack of 3 Solid Tshirts
105,57932,Men,White,Summer,French Connection Men White T-shirt
106,40985,Boys,White,Summer,Gini and Jony Boys United White T-shirt
107,7955,Men,Grey,Fall,Puma Men's Foundation Grey Polo T-shirt
108,6289,Men,Brown,Summer,Classic Polo Classic Polo Swiss Brown Tee T-Shirt
109,1890,Men,Red,Winter,FIFA Mens Essentials Red T-shirt
110,15189,Men,Green,Fall,Arrow Sport Men Solid Green Polo Tshirts
111,4718,Girls,Yellow,Summer,Disney Kids Girl's Summer Fun Fair Yellow Teen Kidswear
112,19582,Men,Grey,Summer,United Colors of Benetton Men Printed Grey TShirt
113,26951,Women,Teal,Summer,Jealous 21 Women Printed Teal T-shirt
114,27883,Women,Pink,Summer,Scullers For Her Women Pink Shirt
115,53768,Men,Blue,Summer,Puma Men Blue T-shirt
116,54915,Men,Cream,Summer,Do u speak Cream Men T-shirt
117,38601,Men,Red,Summer,Nike Men Printed Red T-shirt
118,10857,Men,White,Fall,Wrangler Men Rider Striper Polo White T-Shirts
119,20251,Men,Grey,Fall,Wrangler Men Heavy Grey Tshirt
120,14064,Men,Red,Fall,Flying Machine Men Pack of 2 Stripes Red Blue Tshirts
121,5433,Men,Red,Summer,Nike Men's Speed Fury Red T-shirt
122,27848,Women,Navy Blue,Summer,Scullers For Her Navy Blue T-shirt
123,16501,Men,Brown,Fall,Locomotive Men Printed Brown TShirt
124,6084,Men,White,Summer,UCB Men's Johny Collar With Two Tone White T-shirt
125,34235,Men,Cream,Summer,Proline Men Cream-Coloured Polo T-Shirt
126,7532,Men,Blue,Summer,Nike Men's Encourage Blue T-shirt
127,2040,Men,White,Fall,ADIDAS Mens Fire White Polo T-shirt
128,3192,Men,Black,Summer,Tantra Men's Prism Black T-shirt
129,36562,Men,White,Summer,Jack & Jones Men Dino White T-shirt
130,17285,Men,Black,Fall,U.S. Polo Assn. Men Solid Black  polo Tshirt
131,2272,Men,Blue,Fall,Nike Mens Blue Polo T-shirt
132,16191,Men,White,Fall,Puma Men Graphic White TShirt
133,24053,Men,Charcoal,Fall,Locomotive Men Printed Charcoal T-shirt
134,10054,Boys,Blue,Summer,Reebok Kids Kkr Boy's Premium Blue Jerseys
